Petroleum Products,mmBtu per gallon,kg CO2 per mmBtu,g CH4 per mmBtu,g N2O per mmBtu,kg CO2 per gallon,g CH4 per gallon,g N2O per gallon,Total GHGs (kg CO2eq. per gallon),Total GHGs (kg CO2eq. per bbl)
Asphalt and Road Oil,0.158,75.36,3,0.6,11.91,0.47,0.09,NaN,NaN
Aviation Gasoline,0.12,69.25,3,0.6,8.31,0.36,0.07,NaN,NaN
Butane,0.103,64.77,3,0.6,6.67,0.31,0.06,NaN,NaN
Butylene,0.105,68.72,3,0.6,7.22,0.32,0.06,NaN,NaN
Crude Oil,0.138,74.54,3,0.6,10.29,0.41,0.08,NaN,NaN
Distillate Fuel Oil No. 1,0.139,73.25,3,0.6,10.18,0.42,0.08,NaN,NaN
Distillate Fuel Oil No. 2,0.138,73.96,3,0.6,10.21,0.41,0.08,NaN,NaN
Distillate Fuel Oil No. 4,0.146,75.04,3,0.6,10.96,0.44,0.09,NaN,NaN
Ethane,0.068,59.6,3,0.6,4.05,0.2,0.04,NaN,NaN
Ethylene,0.058,65.96,3,0.6,3.83,0.17,0.03,NaN,NaN
Heavy Gas Oils,0.148,74.92,3,0.6,11.09,0.44,0.09,NaN,NaN
Isobutane,0.099,64.94,3,0.6,6.43,0.3,0.06,NaN,NaN
Isobutylene,0.103,68.86,3,0.6,7.09,0.31,0.06,NaN,NaN
Kerosene,0.135,75.2,3,0.6,10.15,0.41,0.08,NaN,NaN
Kerosene-Type Jet Fuel,0.135,72.22,3,0.6,9.75,0.41,0.08,NaN,NaN
Liquefied Petroleum Gases (LPG),0.092,61.71,3,0.6,5.68,0.28,0.06,NaN,NaN
Lubricants,0.144,74.27,3,0.6,10.69,0.43,0.09,NaN,NaN
Motor Gasoline,0.125,70.22,3,0.6,8.78,0.38,0.08,NaN,NaN
Naphtha (<401 deg F),0.125,68.02,3,0.6,8.5,0.38,0.08,NaN,NaN
Natural Gasoline,0.11,66.88,3,0.6,7.36,0.33,0.07,NaN,NaN
Other Oil (>401 deg F),0.139,76.22,3,0.6,10.59,0.42,0.08,NaN,NaN
Pentanes Plus,0.11,70.02,3,0.6,7.7,0.33,0.07,NaN,NaN
Petrochemical Feedstocks,0.125,71.02,3,0.6,8.88,0.38,0.08,NaN,NaN
Propane,0.091,62.87,3,0.6,5.72,0.27,0.05,NaN,NaN
Propylene,0.091,65.95,3,0.6,6,0.27,0.05,NaN,NaN
Residual Fuel Oil No. 5,0.14,72.93,3,0.6,10.21,0.42,0.08,NaN,NaN
Residual Fuel Oil No. 6,0.15,75.1,3,0.6,11.27,0.45,0.09,NaN,NaN
Special Naphtha,0.125,72.34,3,0.6,9.04,0.38,0.08,NaN,NaN
Still Gas,0.143,66.72,3,0.6,9.54,0.43,0.09,NaN,NaN
Unfinished Oils,0.139,74.54,3,0.6,10.36,0.42,0.08,NaN,NaN
Used Oil,0.138,74,3,0.6,10.21,0.41,0.08,NaN,NaN