Product Slate (mass flow rates),Kilograms of Product per Day,CO2 Emissions Factor (g CO2/kg product),CH4 Emissions Factor (g CH4/kg product),N2O Emissions Factor (g N2O/kg product),Emissions Factor (g CO2eq/kg product),Total Transport Emissions (kg CO2eq/ day),Transport Emissions Intensity (kg CO2eq. /BOE),Total Transport CO2 Emissions (kg CO2/ day),Total Transport CO2 Emissions Intensity (kg CO2 / BOE),Total Transport CH4 Emissions (kg CH4/ day),Total Transport CH4 Emissions Intensity (kg CH4. / BOE),Total Transport N2O Emissions (kg N2O/ day),Total Transport N2O Emissions Intensity (kg N2O / BOE)
Gasoline,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jet Fuel,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Diesel,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fuel Oil,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Coke,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Residual fuels,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Liquefied Petroleum Gases (LPG),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Petrochemical Feedstocks,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Asphalt,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sulphur,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Surplus RFG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Surplus NCR H2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sum,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN